2012.917,25.3,2707.392,3.0,24.96056,121.50831
2013.083,15.1,383.2805,7.0,24.96735,121.54464
2012.75,0.0,338.9679,9.0,24.96853,121.54413
2012.833,1.8,1455.798,1.0,24.9512,121.549
2013.583,16.9,4066.587,0.0,24.94297,121.50342
2012.917,8.9,1406.43,0.0,24.98573,121.52758
2013.5,23.0,3947.945,0.0,24.94783,121.50243
2012.833,0.0,274.0144,1.0,24.9748,121.53059
2013.25,9.1,1402.016,0.0,24.98569,121.5276
2012.917,20.6,2469.645,4.0,24.96108,121.51046
2012.917,31.9,1146.329,0.0,24.9492,121.53076
2012.917,40.9,167.5989,5.0,24.9663,121.54026
2012.917,8.0,104.8101,5.0,24.96674,121.54067
2013.417,6.4,90.45606,9.0,24.97433,121.5431
2013.083,28.4,617.4424,3.0,24.97746,121.53299
2013.417,16.4,289.3248,5.0,24.98203,121.54348
2013.417,6.4,90.45606,9.0,24.97433,121.5431
2013.5,17.5,964.7496,4.0,24.98872,121.53411
2012.833,12.7,170.1289,1.0,24.97371,121.52984
2013.083,1.1,193.5845,6.0,24.96571,121.54089
2012.75,0.0,208.3905,6.0,24.95618,121.53844
2012.667,32.7,392.4459,6.0,24.96398,121.5425
2012.833,0.0,292.9978,6.0,24.97744,121.54458
2013.083,17.2,189.5181,8.0,24.97707,121.54308
2013.333,12.2,1360.139,1.0,24.95204,121.54842
2013.417,31.4,592.5006,2.0,24.9726,121.53561
2013.583,4.0,2147.376,3.0,24.96299,121.51284
2013.083,8.1,104.8101,5.0,24.96674,121.54067
2013.583,33.3,196.6172,7.0,24.97701,121.54224
2013.417,9.9,2102.427,3.0,24.96044,121.51462
2013.333,14.8,393.2606,6.0,24.96172,121.53812
2012.667,30.6,143.8383,8.0,24.98155,121.54142
2013.083,20.6,737.9161,2.0,24.98092,121.54739
2013.0,30.9,6396.283,1.0,24.94375,121.47883
2013.0,13.6,4197.349,0.0,24.93885,121.50383
2013.5,25.3,1583.722,3.0,24.96622,121.51709
2013.5,16.6,289.3248,5.0,24.98203,121.54348
2013.167,13.3,492.2313,5.0,24.96515,121.53737
